SiteID,long,lat,x,y,FIPS,STATE,COUNTY,SOC,DEM,Slope,MAP,MAT,NDVI,NLCD,NLCD_ID
1,-104.44425,39.95647999,-714067.4842,1913846.289,8001,Colorado,Adams County,2.304,1551.130005,1.30140996,384.401001,9.798390388,0.331707001,Planted/Cultivated,7
2,-105.92723,37.60193997,-866566.0081,1663513.09,8003,Colorado,Alamosa County,3.154,2308.689941,0.858110011,194.2819977,5.36274004,0.430465996,Planted/Cultivated,7
3,-104.8406783,39.64298018,-750759.1663,1881917.141,8005,Colorado,Arapahoe County,1.309,1689.930054,2.962569952,469.2550049,10.05500031,0.471262991,Herbaceous,6
4,-104.5048701,39.61835,-722566.3711,1876565.288,8005,Colorado,Arapahoe County,4.717,1822.170044,2.714050055,470.2380066,9.396209717,0.396961004,Herbaceous,6
5,-104.42155,39.61246003,-715564.6046,1875277.417,8005,Colorado,Arapahoe County,2.23,1758.680054,1.798069954,439.7219849,9.526069641,0.348821014,Herbaceous,6
6,-106.87303,37.2699,-953029.8768,1635578.935,8007,Colorado,Archuleta County,21.591,2517.139893,8.611060143,631.3380127,5.304550171,0.674516976,Forest,4
7,-106.87303,37.2699,-953029.8768,1635578.935,8007,Colorado,Archuleta County,21.591,2517.139893,8.611060143,631.3380127,5.304550171,0.674516976,Forest,4
8,-102.80351,37.51671995,-595146.9329,1629972.615,8009,Colorado,Baca County,2.983,1404.97998,1.608719945,421.3150024,11.79389954,0.305332989,Herbaceous,6
9,-102.80351,37.51671995,-595146.9329,1629972.615,8009,Colorado,Baca County,2.983,1404.97998,1.608719945,421.3150024,11.79389954,0.305332989,Herbaceous,6
10,-102.80351,37.51671995,-595146.9329,1629972.615,8009,Colorado,Baca County,2.983,1404.97998,1.608719945,421.3150024,11.79389954,0.305332989,Herbaceous,6
11,-102.5358976,37.64558925,-570782.3625,1642738.22,8009,Colorado,Baca County,4.569,1317.920044,1.854969978,417.8519897,11.9406004,0.334432006,Herbaceous,6
12,-102.3766499,37.34450004,-559158.799,1608126.441,8009,Colorado,Baca County,6.129,1221.199951,1.06475997,443.0650024,12.13140011,0.366326004,Planted/Cultivated,7
13,-102.3766499,37.34450004,-559158.799,1608126.441,8009,Colorado,Baca County,6.129,1221.199951,1.06475997,443.0650024,12.13140011,0.366326004,Planted/Cultivated,7
14,-102.3766499,37.34450004,-559158.799,1608126.441,8009,Colorado,Baca County,6.129,1221.199951,1.06475997,443.0650024,12.13140011,0.366326004,Planted/Cultivated,7
15,-105.46142,40.03581,-798929.3288,1930792.981,8013,Colorado,Boulder County,15.303,2424.139893,16.10129929,537.177002,5.87969017,0.60839802,Forest,4
16,-106.3109,38.71356001,-886436.626,1790940.034,8015,Colorado,Chaffee County,4.555,3471.050049,24.94079971,548.7639771,-0.342474014,0.506735981,Forest,4
17,-102.90466,38.82406998,-593343.0322,1776755.349,8017,Colorado,Cheyenne County,1.611,1353.52002,0.948350012,392.3930054,10.35509968,0.360603005,Shrubland,5
18,-102.90466,38.82406998,-593343.0322,1776755.349,8017,Colorado,Cheyenne County,1.611,1353.52002,0.948350012,392.3930054,10.35509968,0.360603005,Shrubland,5
19,-102.90466,38.82406998,-593343.0322,1776755.349,8017,Colorado,Cheyenne County,1.611,1353.52002,0.948350012,392.3930054,10.35509968,0.360603005,Shrubland,5
20,-102.155362,38.96903104,-527997.0519,1788544.329,8017,Colorado,Cheyenne County,6.334,1235.01001,1.325180054,436.9790039,10.40310001,0.392075986,Herbaceous,6
21,-106.21958,36.99902004,-899240.4582,1599043.897,8021,Colorado,Conejos County,12.02,2692.370117,7.891320229,451.7409973,4.263020039,0.383159012,Herbaceous,6
22,-105.3156,37.18439003,-817931.957,1611538.775,8023,Colorado,Costilla County,3.678,3000.699951,13.41720009,522.2670288,3.880520105,0.564236999,Forest,4
23,-103.89461,38.31013995,-683009.5773,1725972.075,8025,Colorado,Crowley County,1.665,1400.319946,1.277109981,295.1210022,11.29920006,0.256471992,Herbaceous,6
24,-105.12488,38.06527002,-791773.643,1708181.459,8027,Colorado,Custer County,16.652,2860.620117,14.51480007,636.7269897,4.097549915,0.677752018,Forest,4
25,-108.72642,37.82026002,-1106344.785,1716868.409,8033,Colorado,Dolores County,5.995,2229.560059,6.229159832,449.9909973,7.95085001,0.521178007,Forest,4
26,-108.65148,37.73378,-1101155.229,1706391.755,8033,Colorado,Dolores County,4.874,2328.449951,10.46269989,508.8980103,7.075250149,0.573623002,Forest,4
27,-108.65148,37.73378,-1101155.229,1706391.755,8033,Colorado,Dolores County,4.874,2328.449951,10.46269989,508.8980103,7.075250149,0.573623002,Forest,4
28,-108.40023,37.65977995,-1080491.634,1695286.098,8033,Colorado,Dolores County,4.411,2416.590088,7.329060078,569.8179932,6.133250237,0.592612982,Forest,4
29,-108.14849,37.74476,-1057462.918,1701899.342,8033,Colorado,Dolores County,30.473,3124.870117,16.74749947,777.4370117,2.5697999,0.737810016,Forest,4
30,-104.6879828,39.15531456,-742818.0513,1826295.749,8035,Colorado,Douglas County,8.221,2224.419922,3.946749926,532.8909912,6.996880054,0.492246002,Herbaceous,6
31,-104.66926,39.50217996,-737680.368,1864862.673,8035,Colorado,Douglas County,3.459,1917.900024,2.9582901,493.2030029,8.974280357,0.427538007,Herbaceous,6
32,-106.56149,39.91398996,-892971.0939,1927011.405,8037,Colorado,Eagle County,6.641,2534.300049,13.76580048,518.1589966,3.280950069,0.571150005,Shrubland,5
33,-104.24721,39.14085996,-705369.7276,1821323.669,8039,Colorado,Elbert County,2.397,1909.599976,2.274749994,454.6659851,8.367139816,0.403746992,Herbaceous,6
34,-104.0096334,39.44205112,-682257.4448,1853221.943,8039,Colorado,Elbert County,3.067,1708.97998,2.598119974,414.9549866,9.060819626,0.383565992,Herbaceous,6
35,-103.8904025,39.44617792,-672086.568,1852833.236,8039,Colorado,Elbert County,9.1,1682.099976,1.977339983,409.368988,9.131340027,0.383195013,Herbaceous,6
36,-105.00798,38.97708999,-771987.7338,1808956.936,8041,Colorado,El Paso County,23.19,2684.26001,7.831620216,629.9920044,4.578090191,0.585367024,Forest,4
37,-105.00798,38.97708999,-771987.7338,1808956.936,8041,Colorado,El Paso County,23.19,2684.26001,7.831620216,629.9920044,4.578090191,0.585367024,Forest,4
38,-105.00798,38.97708999,-771987.7338,1808956.936,8041,Colorado,El Paso County,23.19,2684.26001,7.831620216,629.9920044,4.578090191,0.585367024,Forest,4
39,-104.8102829,38.94078518,-755470.7669,1803316.831,8041,Colorado,El Paso County,6.536,2049.090088,4.397819996,494.8099976,8.273909569,0.444519013,Herbaceous,6
40,-104.729801,38.64987718,-751579.9545,1770210.765,8041,Colorado,El Paso County,11.589,1810.280029,3.796580076,421.2799988,10.06980038,0.365857005,Herbaceous,6
41,-104.53521,38.92890004,-732067.5359,1799837.395,8041,Colorado,El Paso County,6.384,2105.47998,1.603160024,500.9039917,7.574840069,0.38469699,Herbaceous,6
42,-104.16236,38.64345999,-702913.0711,1765152.155,8041,Colorado,El Paso County,1.049,1728.27002,1.225229979,377.2030029,9.337240219,0.307262003,Herbaceous,6
43,-104.16236,38.64345999,-702913.0711,1765152.155,8041,Colorado,El Paso County,1.049,1728.27002,1.225229979,377.2030029,9.337240219,0.307262003,Herbaceous,6
44,-104.16236,38.64345999,-702913.0711,1765152.155,8041,Colorado,El Paso County,1.049,1728.27002,1.225229979,377.2030029,9.337240219,0.307262003,Herbaceous,6
45,-104.0758277,38.95179339,-692545.964,1798950.383,8041,Colorado,El Paso County,5.699,1928.310059,2.369040012,425.2860107,8.127260208,0.37874499,Herbaceous,6
46,-108.7419301,39.50625001,-1082424.069,1904322.053,8045,Colorado,Garfield County,5.528,2044.140015,20.80970001,407.29599,8.467780113,0.499951005,Forest,4
47,-107.47508,39.38085996,-977050.8573,1876656.329,8045,Colorado,Garfield County,9.345,2782.050049,11.61520004,814.0440063,3.691950083,0.781475008,Forest,4
48,-107.1587126,39.80164283,-944715.132,1920278.944,8045,Colorado,Garfield County,1.36,3013.669922,17.72240067,942.8469849,1.672299981,0.655030012,Forest,4
49,-106.4483597,40.26143251,-879173.5506,1964646.922,8049,Colorado,Grand County,12.488,2630.969971,8.861189842,460.0039978,2.945519924,0.534856975,Shrubland,5
50,-106.1465254,40.0486135,-856414.773,1938186.682,8049,Colorado,Grand County,4.461,2662.219971,14.46290016,468.0230103,2.414239883,0.584248006,Shrubland,5
51,-106.1465254,40.0486135,-856414.773,1938186.682,8049,Colorado,Grand County,4.461,2662.219971,14.46290016,468.0230103,2.414239883,0.584248006,Shrubland,5
52,-106.1465254,40.0486135,-856414.773,1938186.682,8049,Colorado,Grand County,4.461,2662.219971,14.46290016,468.0230103,2.414239883,0.584248006,Shrubland,5
